제품명,성분명,코드
네프신정 416.7mg/PTP,지황|당귀|목통|황금|택사|차전자|감초|치자|용담|육계|생강|대황|마황|연교,K-034894
신일이부프로펜정 400mg,이부프로펜,K-002824
오메콜에프캡슐 200mg/PTP,아세트아미노펜|덱스트로메토르판브롬화수소산염수화물|dl-메틸에페드린염산염|구아이페네신|클로르페니라민말레산염|카페인무수물,K-031963
하드칼츄어블이지정,탄산칼슘|농축콜레칼시페롤과립,K-032253
쎄락틸정 300mg,덱시부프로펜 디.씨.,K-011982
스코펜정400mg/PTP,이부프로펜,K-001150
프라스칼-디정 750mg,구연산칼슘|건조콜레칼시페롤,K-016799
젠타졸정 400mg/PTP,알벤다졸,K-025285
한방화콜캡슐 200mg/PTP,소청룡탕건조엑스|아세트아미노펜|티페피딘히벤즈산염|클로르페니라민말레산염|카페인무수물,K-028437
글로덱시정 300mg,덱시부프로펜,K-030163
담엔싹정 300mg/PTP,클로르족사존|아세트아미노펜,K-046737
엘도인캡슐 300mg,에르도스테인,K-013403
오스테민캡슐(결정글루코사민황산염),결정글루코사민황산염,K-002275
한미알마게이트정 500mg,알마게이트,K-008537
